"project","name","inspected"
":app","devImplementationDependenciesMetadata","False"
":app","devIntransitiveDependenciesMetadata","False"
":app","devReleaseAnnotationProcessorClasspath","True"
":app","devReleaseApiDependenciesMetadata","False"
":app","devReleaseCompileClasspath","True"
":app","devReleaseCompileOnlyDependenciesMetadata","False"
":app","devReleaseImplementationDependenciesMetadata","False"
":app","devReleaseIntransitiveDependenciesMetadata","False"
":app","devReleaseReverseMetadataValues","False"
":app","devReleaseRuntimeClasspath","True"
":app","devReleaseUnitTestAnnotationProcessorClasspath","True"
":app","devReleaseUnitTestApiDependenciesMetadata","False"
":app","devReleaseUnitTestCompileClasspath","True"
":app","devReleaseUnitTestCompileOnlyDependenciesMetadata","False"
":app","devReleaseUnitTestImplementationDependenciesMetadata","False"
":app","devReleaseUnitTestIntransitiveDependenciesMetadata","False"
":app","devReleaseUnitTestRuntimeClasspath","True"
":app","devReleaseWearBundling","False"
":app","hiltAnnotationProcessorDevDebug","False"
":app","hiltAnnotationProcessorDevDebugAndroidTest","False"
":app","hiltAnnotationProcessorDevDebugUnitTest","False"
":app","hiltAnnotationProcessorDevRelease","False"
":app","hiltAnnotationProcessorDevReleaseUnitTest","False"
":app","hiltAnnotationProcessorProdDebug","False"
":app","hiltAnnotationProcessorProdDebugAndroidTest","False"
":app","hiltAnnotationProcessorProdDebugUnitTest","False"
":app","hiltAnnotationProcessorProdRelease","False"
":app","hiltAnnotationProcessorProdReleaseUnitTest","False"
":app","hiltAnnotationProcessorQaDebug","False"
":app","hiltAnnotationProcessorQaDebugAndroidTest","False"
":app","hiltAnnotationProcessorQaDebugUnitTest","False"
":app","hiltAnnotationProcessorQaRelease","False"
":app","hiltAnnotationProcessorQaReleaseUnitTest","False"
":app","hiltAnnotationProcessorStagingDebug","False"
":app","hiltAnnotationProcessorStagingDebugAndroidTest","False"
":app","hiltAnnotationProcessorStagingDebugUnitTest","False"
":app","hiltAnnotationProcessorStagingRelease","False"
":app","hiltAnnotationProcessorStagingReleaseUnitTest","False"
":app","hiltCompileOnlyDevDebug","False"
":app","hiltCompileOnlyDevDebugAndroidTest","False"
":app","hiltCompileOnlyDevDebugUnitTest","False"
":app","hiltCompileOnlyDevRelease","False"
":app","hiltCompileOnlyDevReleaseUnitTest","False"
":app","hiltCompileOnlyProdDebug","False"
":app","hiltCompileOnlyProdDebugAndroidTest","False"
":app","hiltCompileOnlyProdDebugUnitTest","False"
":app","hiltCompileOnlyProdRelease","False"
":app","hiltCompileOnlyProdReleaseUnitTest","False"
":app","hiltCompileOnlyQaDebug","False"
":app","hiltCompileOnlyQaDebugAndroidTest","False"
":app","hiltCompileOnlyQaDebugUnitTest","False"
":app","hiltCompileOnlyQaRelease","False"
":app","hiltCompileOnlyQaReleaseUnitTest","False"
":app","hiltCompileOnlyStagingDebug","False"
":app","hiltCompileOnlyStagingDebugAndroidTest","False"
":app","hiltCompileOnlyStagingDebugUnitTest","False"
":app","hiltCompileOnlyStagingRelease","False"
":app","hiltCompileOnlyStagingReleaseUnitTest","False"
":app","implementationDependenciesMetadata","False"
":app","intransitiveDependenciesMetadata","False"
":app","kotlin-extension","False"
":app","kotlinBuildToolsApiClasspath","True"
":app","kotlinCompilerClasspath","True"
":app","kotlinCompilerPluginClasspath","True"
":app","kotlinCompilerPluginClasspathDevDebug","True"
":app","kotlinCompilerPluginClasspathDevDebugAndroidTest","True"
":app","kotlinCompilerPluginClasspathDevDebugUnitTest","True"
":app","kotlinCompilerPluginClasspathDevRelease","True"
":app","kotlinCompilerPluginClasspathDevReleaseUnitTest","True"
":app","kotlinCompilerPluginClasspathProdDebug","True"
":app","kotlinCompilerPluginClasspathProdDebugAndroidTest","True"
":app","kotlinCompilerPluginClasspathProdDebugUnitTest","True"
":app","kotlinCompilerPluginClasspathProdRelease","True"
":app","kotlinCompilerPluginClasspathProdReleaseUnitTest","True"
":app","kotlinCompilerPluginClasspathQaDebug","True"
":app","kotlinCompilerPluginClasspathQaDebugAndroidTest","True"
":app","kotlinCompilerPluginClasspathQaDebugUnitTest","True"
":app","kotlinCompilerPluginClasspathQaRelease","True"
":app","kotlinCompilerPluginClasspathQaReleaseUnitTest","True"
":app","kotlinCompilerPluginClasspathStagingDebug","True"
":app","kotlinCompilerPluginClasspathStagingDebugAndroidTest","True"
":app","kotlinCompilerPluginClasspathStagingDebugUnitTest","True"
":app","kotlinCompilerPluginClasspathStagingRelease","True"
":app","kotlinCompilerPluginClasspathStagingReleaseUnitTest","True"
":app","kotlinKlibCommonizerClasspath","False"
":app","kotlinNativeCompilerPluginClasspath","False"
":app","kspDevDebugAndroidTestKotlinProcessorClasspath","True"
":app","kspDevDebugKotlinProcessorClasspath","True"
":app","kspDevDebugUnitTestKotlinProcessorClasspath","True"
":app","kspDevReleaseKotlinProcessorClasspath","True"
":app","kspDevReleaseUnitTestKotlinProcessorClasspath","True"
":app","kspPluginClasspath","True"
":app","kspPluginClasspathNonEmbeddable","True"
":app","kspProdDebugAndroidTestKotlinProcessorClasspath","True"
":app","kspProdDebugKotlinProcessorClasspath","True"
":app","kspProdDebugUnitTestKotlinProcessorClasspath","True"
":app","kspProdReleaseKotlinProcessorClasspath","True"
":app","kspProdReleaseUnitTestKotlinProcessorClasspath","True"
":app","kspQaDebugAndroidTestKotlinProcessorClasspath","True"
":app","kspQaDebugKotlinProcessorClasspath","True"
":app","kspQaDebugUnitTestKotlinProcessorClasspath","True"
":app","kspQaReleaseKotlinProcessorClasspath","True"
":app","kspQaReleaseUnitTestKotlinProcessorClasspath","True"
":app","kspStagingDebugAndroidTestKotlinProcessorClasspath","True"
":app","kspStagingDebugKotlinProcessorClasspath","True"
":app","kspStagingDebugUnitTestKotlinProcessorClasspath","True"
":app","kspStagingReleaseKotlinProcessorClasspath","True"
":app","kspStagingReleaseUnitTestKotlinProcessorClasspath","True"
":app","lintChecks","True"
":app","lintPublish","True"
":app","prodApiDependenciesMetadata","False"
":app","prodCompileOnlyDependenciesMetadata","False"
":app","prodDebugAndroidTestAnnotationProcessorClasspath","True"
":app","prodDebugAndroidTestApiDependenciesMetadata","False"
":app","prodDebugAndroidTestCompileClasspath","True"
":app","prodDebugAndroidTestCompileOnlyDependenciesMetadata","False"
":app","prodDebugAndroidTestImplementationDependenciesMetadata","False"
":app","prodDebugAndroidTestIntransitiveDependenciesMetadata","False"
":app","prodDebugAndroidTestRuntimeClasspath","True"
":app","prodDebugAnnotationProcessorClasspath","True"
":app","prodDebugApiDependenciesMetadata","False"
":app","prodDebugCompileClasspath","True"
":app","prodDebugCompileOnlyDependenciesMetadata","False"
":app","prodDebugImplementationDependenciesMetadata","False"
":app","prodDebugIntransitiveDependenciesMetadata","False"
":app","prodDebugReverseMetadataValues","False"
":app","prodDebugRuntimeClasspath","True"
":app","prodDebugUnitTestAnnotationProcessorClasspath","True"
":app","prodDebugUnitTestApiDependenciesMetadata","False"
":app","prodDebugUnitTestCompileClasspath","True"
":app","prodDebugUnitTestCompileOnlyDependenciesMetadata","False"
":app","prodDebugUnitTestImplementationDependenciesMetadata","False"
":app","prodDebugUnitTestIntransitiveDependenciesMetadata","False"
":app","prodDebugUnitTestRuntimeClasspath","True"
